ID	SMILES	compound_name	DT50_count	DT50_gmean	DT50_log_median	DT50_log_gmean	DT50_log_spread	DT50_log_std	DT50_log_bayesian_mean	DT50_log_bayesian_std	DT50_log_bayesian_mean_std	canonical_SMILES	cropped_canonical_SMILES	cropped_canonical_SMILES_no_stereo	pathway_name	compound_id	node_depth	acidity_std	CEC_log_std	OC_log_std	biomass_log_std	temperature_std	logDT50_mean	logDT50_std
818	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1	Topramezone (BAS 670 H)	12	206.49818098284183	207.0	2.3149162303624258	0.6923159811074957	0.19343340151682384	2.31	0.28	0.09	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1	Topramezone (BAS 670 H)	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/e9cd22a4-e2b8-42c1-bb80-af57a0a45adc/structure/04dbe33b-d927-4285-9551-b1aeac063c9b	0	0.8825468196582484	0.2954731976142604			4.08248290463863	2.31	0.09
819	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C#N	M670H01	2	231.18607224484788	324.0	2.363961666559015	0.7543798645855402	0.3771899322927701	2.33	0.5	0.41	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C#N	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C#N	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C#N	Topramezone (BAS 670 H)	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/d847029a-bbd9-4b80-b952-211a0f5eba77/structure/c51c79ff-c651-4601-aca9-01c66db6ab0f	1	0.19999999999999973	0.05877000726763432			0.0	2.33	0.41
820	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O	Tralkoxydim	10	4.898933550852741	4.5	0.6901015487248141	1.4499690086760475	0.40470213549883877	0.7	0.43	0.14	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O	Tralkoxydim	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/d3a47f89-b89b-496f-8c11-9be57102439f/structure/fa09ab15-a2ae-420e-994b-414cc1192648	0	0.6003332407921456	0.18971896675306388			4.58257569495584	0.7	0.14
821	Cc1cc(C)c(C(CC(=O)O)CC(=O)O)c(C)c1	R173642	6	37.492300007218645	39.15	1.573942083521152	1.307796508233985	0.4941769201035153	1.57	0.53	0.23	Cc1cc(C)c(C(CC(=O)O)CC(=O)O)c(C)c1	Cc1cc(C)c(C(CC(=O)O)CC(=O)O)c(C)c1	Cc1cc(C)c(C(CC(=O)O)CC(=O)O)c(C)c1	Tralkoxydim	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/abefa088-c9f6-4e47-a76e-f8bf0e40eefc/structure/babcd4bd-2c22-405d-8d1a-929fb1165559	1	0.6211548384528077	0.21704760286695224			5.0	1.57	0.23
822	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C(=O)O)cc2C)CC1=O	R223068	8	9.148947347315959	9.65	0.9613711282138921	1.390935107103379	0.3957488811120665	0.97	0.43	0.16	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C(=O)O)cc2C)CC1=O	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C(=O)O)cc2C)CC1=O	CCON=C(CC)C1C(=O)CC(c2c(C)cc(C(=O)O)cc2C)CC1=O	Tralkoxydim	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/156f0e83-69eb-4e2e-8765-71f7ba18c726/structure/b4a6f8f5-cc8a-43bf-a543-4b359227fe77	1	0.5775757526073962	0.21038495836727167			4.841229182759271	0.97	0.16
823	CCc1nc2c(o1)CC(c1c(C)cc(C)cc1C)CC2=O	R163434	5	15.465010574195844	19.2	1.1893502212880072	1.231512066295736	0.4226044268160987	1.2	0.47	0.23	CCc1nc2c(o1)CC(c1c(C)cc(C)cc1C)CC2=O	CCc1nc2c(o1)CC(c1c(C)cc(C)cc1C)CC2=O	CCc1nc2c(o1)CC(c1c(C)cc(C)cc1C)CC2=O	Tralkoxydim	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/876096cd-cda7-4ceb-9379-87740b1ee944/structure/f2b3e43c-7002-433c-9f75-a708ff50e6c1	1	0.48	0.20906364600481153			0.0	1.2	0.23
824	O=S(=O)(O)CC(Cl)=C(Cl)Cl	TCPSA	3	17.789776564168193	15.6	1.250170493471323	0.6489018631808575	0.26796651858290066	1.24	0.41	0.26	O=S(=O)(O)CC(Cl)=C(Cl)Cl	O=S(=O)(O)CC(Cl)=C(Cl)Cl	O=S(=O)(O)CC(Cl)=C(Cl)Cl	Tri-allate	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/23432482-55d2-4356-a398-b06389c19722/structure/d852cb1e-2ecd-4995-a618-0e3f41085cc5	1	0.8498365855987975	0.1566622242136671			0.0	1.24	0.26
825	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C	Tri-allate	5	54.28494344188556	50.0	1.734679389683641	0.43820318868929276	0.14604639275611528	1.73	0.32	0.15	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C	Tri-allate	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1e570a2c-42b0-4a14-bd61-1821053c5e9f/structure/32b39b92-1197-4ea9-94f7-1ec6189bba91	0	0.5621387729022077	0.023372686306057325			4.0	1.73	0.15
826	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1	Triadimenol	4	187.99036093495184	199.5	2.2741355817100564	0.9899803395012374	0.3523535175618767	2.27	0.43	0.23	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1	Triadimenol	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/ffec5efc-e2f2-4d67-a669-d126cd88a640/structure/eeecbf2c-f8d8-41f3-ae3b-2c4a8dad0d74	0	0.3897114317029975	0.04041635660376955			0.0	2.27	0.23
827	COc1nc(C)nc(NC(=O)NS(=O)(=O)O)n1	SYN546832	3	37.21005432164809	24.4	1.570660304033219	0.7010833636494178	0.3141873344490196	1.57	0.43	0.29	COc1nc(C)nc(NC(=O)NS(=O)(=O)O)n1	COc1nc(C)nc(NC(=O)NS(=O)(=O)O)n1	COc1nc(C)nc(NC(=O)NS(=O)(=O)O)n1	Triasulfuron	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/74a5fcd5-f2a4-425b-9e46-a3c0bc5fe40a/structure/6c1d84a5-f911-41b5-adc6-00ef9771aec4	1	0.4988876515698589	0.19479537188244112			0.0	1.57	0.29
